from,to,d,EF
Arable land,Recreation areas,5,-0.19452585381272802
Arable land,Recreation areas,6,-0.1820843087765632
Arable land,Recreation areas,7,-0.17803289800569666
Arable land,Recreation areas,8,-0.17373358850626011
Greenhouses,Greenhouses,0,-9999.0
Greenhouses,Greenhouses,1,1.3171783035695024
Greenhouses,Greenhouses,2,1.2917616949767861
Greenhouses,Greenhouses,3,1.229887612962397
Greenhouses,Greenhouses,4,1.181427905925162
Greenhouses,Greenhouses,5,1.2008721099518778
Greenhouses,Greenhouses,6,1.1729467492623007
Greenhouses,Greenhouses,7,1.139355751066103
Greenhouses,Greenhouses,8,1.1151827363520168
Greenhouses,Housing low density,0,0.42086507687257735
Greenhouses,Housing low density,1,0.27212342559165259
Greenhouses,Housing low density,2,0.32481590553765716
Greenhouses,Housing low density,3,0.30475838595400112
Greenhouses,Housing low density,4,0.28148008360883919
Greenhouses,Housing low density,5,0.25303386741803663
Greenhouses,Housing low density,6,0.22094905679592305
Greenhouses,Housing low density,7,0.17944582406625012
Greenhouses,Housing low density,8,0.16835883870884874
Greenhouses,Housing high density,0,0.58796441053766679
Greenhouses,Housing high density,1,0.32832710003191073
Greenhouses,Housing high density,2,0.44038630846419602
Greenhouses,Housing high density,3,0.44830241710866053
Greenhouses,Housing high density,4,0.43639243529079025
Greenhouses,Housing high density,5,0.42915077891704162
Greenhouses,Housing high density,6,0.39928402417396519
Greenhouses,Housing high density,7,0.37731005125824568
Greenhouses,Housing high density,8,0.41291937187427047
Greenhouses,Industry,0,0.090747655578465841
Greenhouses,Industry,1,0.13214034073669093
Greenhouses,Industry,2,0.29477188374565444
Greenhouses,Industry,3,0.32119023599178287
Greenhouses,Industry,4,0.3240069572345633
Greenhouses,Industry,5,0.315979301944323
Greenhouses,Industry,6,0.29620400161342442
Greenhouses,Industry,7,0.29059068862378684
Greenhouses,Industry,8,0.23997002685083002
Greenhouses,Services,0,0.35210494647849577
Greenhouses,Services,1,0.22716620987019584
Greenhouses,Services,2,-0.028106295233110194
Greenhouses,Services,3,-0.37489378145776653
Greenhouses,Services,4,0.29411299950080905
Greenhouses,Services,5,0.22716620987019584
Greenhouses,Services,6,0.26962464889308074
Greenhouses,Services,7,0.092467635972739701
Greenhouses,Services,8,0.057744695920156013
Greenhouses,Socio cultural uses,0,0.25519493347043942
Greenhouses,Socio cultural uses,1,-0.17077379880184171
Greenhouses,Socio cultural uses,2,-0.17077379880184165
Greenhouses,Socio cultural uses,3,-0.47180379446582288
Greenhouses,Socio cultural uses,4,-0.47365276672472922
Greenhouses,Socio cultural uses,5,-0.53875058409643628
Greenhouses,Socio cultural uses,6,0.013749663654918091
Greenhouses,Socio cultural uses,7,0.16649649241166553
Greenhouses,Socio cultural uses,8,0.23199736129552334
Greenhouses,Forest,0,-9999.0
Greenhouses,Forest,1,-0.49002861457202196
Greenhouses,Forest,2,-0.36508987796372211
Greenhouses,Forest,3,-0.26632257995009845
Greenhouses,Forest,4,-0.20767088935036776
Greenhouses,Forest,5,-0.19421601247381021
Greenhouses,Forest,6,-0.26107952453772654
Greenhouses,Forest,7,-0.27614981043459824
Greenhouses,Forest,8,-0.32950411114443617
Greenhouses,Extensive grasslands,0,-0.0023693684124514625
Greenhouses,Extensive grasslands,1,-0.42833810068473255
Greenhouses,Extensive grasslands,2,-0.59146438257604617
